Column,Category,ShortName,Active
Punt Returns_Punt Ret TDs,Punt Returns,PuntRetTDs,1
Punt Returns_Punt Ret Yds,Punt Returns,PuntRetYds,1
Kickoffs and KO Returns_KO,Kickoffs and KO Returns,KickOffs,1
Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns,KickOffYds,1
Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns,KickOffTB,1
Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns,KickoffsReturnedByTeam,1
Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns,KickoffRetunedByTeamTD,1
Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns,KickoffReturnedByTeamYDS,1
Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns,KickoffNetYards,0
Kickoffs and KO Returns_fc yds,Kickoffs and KO Returns,fcYds,0
Redzone_RZScores,Redzone,RZScores,1
Redzone_RZAtt,Redzone,RZAttempts,1
Redzone_RZPts,Redzone,RZPts,1
Redzone_RZ Rush TD,Redzone,RZEndOnRushTD,1
Redzone_RZ Pass TD,Redzone,RZEndOnPassTD,1
Redzone_RZ FG Made,Redzone,RZEndOnFGM,1
Redzone_RZEndFGA,Redzone,RZEndOnFGA,1
Redzone_RZEndFumble,Redzone,RZEndOnFumble,1
Redzone_RZEndINT,Redzone,RZEndOnInt,1
Redzone_RZEndDowns,Redzone,RZEndOnDowns,1
Redzone_RZPtsPerRZAtt,Redzone,RZPtsPerRZAtt,1
Redzone_RZScoresPerRZAtt,Redzone,RZScoresPerRZAtt,1
Redzone_RZTDConvPct,Redzone,RZTDConvPct,1
Redzone_RZEndHalf,Redzone,RZEndHalf,1
Redzone_RZEndGame,Redzone,RZEndGame,1
Defense_Fumbles Recovered,Defense,DefFumbleRecov,1
Defense_Int,Defense,DefensiveInt,1
Defense_Blkd,Defense,DefBlkd,0
Turnover Margin_Fumbles Recovered,Turnover Margin,FumblesRecovered,1
Turnover Margin_FumblesLost,Turnover Margin,FumblesLost,1
Turnover Margin_Int,Turnover Margin,IntTaken,1
Turnover Margin_Interceptions,Turnover Margin,IntLost,1
Turnover Margin_TurnoverMargin,Turnover Margin,TurnoverMargin,1
